factor,label,reversed,value
1,Eu sou a alma da festa. ,true,0
2,Eu sou grosseiro(a) com as pessoas,false,0
3,Eu estou sempre pronto(a).,true,0
4,Eu me estresso facilmente.,false,0
5,Eu tenho um vocabulário rico.,true,0
1,Eu frequentemente me sinto desconfortável perto de outras pessoas.,false,0
2,Eu desejo saber mais sobre as pessoas.,true,0
3,Eu largo minhas coisas em qualquer lugar.,false,0
4,"Eu me sinto descontraído(a), leve, solto(a) a maior parte do tempo.",true,0
5,Eu tenho dificuldade para entender idéias abstratas.,false,0
1,Eu me sinto confortável quando junto das pessoas.,true,0
2,Eu nao tenho interesse pelo problemas dos outros.,false,0
3,Eu presto atenção aos detalhes.,true,0
4,Eu me preocupo com as coisas.,false,0
5,Eu tenho uma imaginação viva.,true,0
1,Eu não costumo me expor muito.,false,0
2,Eu sou solidário(a) aos sentimentos dos outros.,true,0
3,Eu faço uma bagunça com as minhas coisas.,false,0
4,Raramente eu me sinto triste.,true,0
5,Eu não me interesso por idéias abstratas.,false,0
1,Eu inicio conversas.,true,0
2,Eu sinto pouca preocupação pelos outros.,false,0
3,Eu cumpro minhas tarefas imediatamente.,true,0
4,Eu me sinto facilmente incomodado(a).,false,0
5,Eu tenho idéias excelentes.,true,0
1,Eu tenho pouco a dizer.,false,0
2,Eu tenho um coração mole.,true,0
3,Frequentemente eu me esqueço de devolver as coisas aos seus devidos lugares.,false,0
4,Eu nao me aborreço facilmente.,true,0
5,Eu não tenho uma boa imaginação.,false,0
1,Eu converso com várias pessoas em festas ou outras reuniões sociais.,true,0
2,Eu não estou realmente interessado(a) nos outros.,false,0
3,"Eu gosto de ordem, de organização.",true,0
4,Eu me aborreço facilmente.,false,0
5,Eu entendo as coisas rapidamente.,true,0
1,Eu não gosto de chamar atenção para mim mesmo.,false,0
2,Eu dedico tempo aos outros.,true,0
3,Eu não cumpro com minhas obrigações.,false,0
4,Eu raramente me irrito.,true,0
5,Eu tento evitar pessoas complicadas.,false,0
1,Eu não me importo de ser o centro das atenções.,true,0
2,Eu dificilmente me abro com as pessoas.,false,0
3,"Eu sigo uma agenda, uma rotina de tarefas.",true,0
4,Meu humor muda frequentemente.,false,0
5,Eu faço uso de palavras difíceis ou incomuns.,true,0
1,Eu fico queito(a) quando perto de estranhos.,false,0
2,Eu sou sensível as emoções das outras pessoas.,true,0
3,Eu nao cumpro com minhas obrigações.,false,0
4,Eu raramente fico bravo(a).,true,0
5,Eu tenho dificuldade em imaginar as coisas.,false,0
1,Eu faço amigos facilmente.,true,0
2,Eu sou indiferente quanto ao sentimento dos outros.,false,0
3,Eu sou preciso no meu trabalho.,true,0
4,Eu tenho mudanças frequentes de humor.,false,0
5,Eu passo meu tempo refletindo sobre as coisas.,true,0
1,Eu acho difícil abordar (falar com) as pessoas.,false,0
2,Eu faço as outras pessoas se sentirem à vontade.,true,0
3,Eu perco meu tempo.,false,0
4,Eu me irrito facilmente.,false,0
5,Eu evito ler material de difícil leitura.,false,0
1,Eu tomo a liderança.,true,0
2,Eu pergunto sobre o bem-estar dos outros.,true,0
3,Eu faço as coisas de acordo com o planejado.,true,0
4,Frequentemente eu me sinto triste.,false,0
5,Eu sou cheio(a) de idéias.,true,0
1,Eu não falo muito.,false,0
2,Eu sei como confortar as pessoas.,true,0
3,Eu faço as coisas pela metade.,false,0
4,Eu fico bravo(a) facilmente.,false,0
5,Eu não me aprofundo em nenhum assunto,false,0
1,Eu sei como cativar as pessoas.,true,0
2,Eu adoro crianças.,true,0
3,"Eu vou até o final, até que as coisas estarem perfeitas.",true,0
4,Eu entro em pânico facilmente.,false,0
5,Eu levo a conversa para um alto-nível.,true,0
1,Eu guardo minhas minhas emoções para mim.,false,0
2,Eu estou de bem com a maioria das pessoas.,true,0
3,Eu acho difícil me concentrar no trabalho.,false,0
4,Eu me sinto ameaçado(a) facilmente.,false,0
5,Eu entendo as coisas facilmente.,true,0
1,Eu me sinto bem com as pessoas.,true,0
2,Eu tenho boas palavras para todo mundo.,true,0
3,Eu faço plano e os sigo.,true,0
4,Eu fico sufocado pelas emoções.,false,0
5,Eu consigo lidar com  muitas informações.,true,0
1,Eu sou uma pessoa muito reservada.,false,0
2,Eu demonstro minha gratidão.,true,0
3,Eu faço uma bagunça no meu quarto.,false,0
4,Eu me ofendo facilmente.,false,0
5,Eu sou bom(boa) em muitas coisas.,true,0
1,Eu espero para que outras pessoas liderem.,false,0
2,Eu coloco os outros em primeiro lugar.,true,0
3,Eu gosto de ordem e rotinas.,true,0
4,Eu me prendo aos meus problemas.,false,0
5,"Eu adoro ler materiais desafiadores, difíceis.",true,0
1,Eu tenho habilidade para lidar com situações sociais.,true,0
2,Eu adoro ajudar aos outros.,true,0
3,Eu gosto de limpeza e ordem.,true,0
4,Eu reclamo das coisas.,false,0
5,Eu adoro pensar em novas formas de fazer as coisas.,true,0
